address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Van Leijenberghlaan 6 C,1082 GM Amsterdam,,,95 m²,A+,Portiekflat (appartement),2004,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,Dubbel glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,"Intergas HR Ketel (gas gestookt combiketel uit 2015, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-01-2053,In woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Reinier Claeszenstraat 59 II,1056 WG Amsterdam,,,76 m²,B,Bovenwoning (appartement),1922,5 kamers (3 slaapkamers),1 badkamer,Ligbad en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2014, eigendom)",Volle eigendom,,Beschutte ligging en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Cycladenlaan 30,1060 LW Amsterdam,,,173 m²,A,,2003,6 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,Stoomcabine en douche,4 woonlagen,Grotendeels dubbelglas en volledig geïsoleerd,Cv-ketel,Cv-ketel,Combiketel,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-01-2049,"Aan rustige weg, aan water en in woonwijk",Balkon aanwezig,,Achtertuin en voortuin,,,
Crynssenstraat 78 HS,1058 XZ Amsterdam,,,52 m²,D,Benedenwoning (appartement),1920,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"AWB (gas gestookt combiketel uit 2012, eigendom)",Volle eigendom,,"Aan rustige weg, beschutte ligging en in woonwijk",,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Het Hoogt 263,1025 GX Amsterdam,,,97 m²,B,Galerijflat (appartement),1968,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 15-04-2056,In woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Krugerstraat 33 D,1091 LD Amsterdam,,,63 m²,C,Bovenwoning (appartement),1931,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2007, eigendom)",,,In woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Hoendiepstraat 7 h,1079 LP Amsterdam,,,54 m²,C,Benedenwoning (appartement),1934,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha Tzerra M28c (gas gestookt uit 2014, eigendom)",Eigendom belast met erfpacht (einddatum erfpacht: 14-02-2059),"€ 996,68 per jaar","Aan vaarwater, beschutte ligging en in woonwijk",,Betaald parkeren,Achtertuin,,,
Baden Powellweg 99,1069 LD Amsterdam,,,93 m²,,Maisonnette (appartement),1965,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,2 woonlagen,Dubbel glas,Blokverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-10-2037),"€ 107,54 per jaar",,Balkon aanwezig,,,,,
Admiraal De Ruijterweg 321 -II,1055 LX Amsterdam,,,69 m²,E,Bovenwoning (appartement),1922,3 kamers (2 slaapkamers),1 badkamer,Ligbad en douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2007, eigendom",Gemeentelijke erfpacht,"€ 223,88 per jaar",,,Betaald parkeren en parkeervergunningen,,,,
Czaar Peterstraat 104 B,1018 PS Amsterdam,,,29 m²,E,Bovenwoning (appartement),1880,1 kamer,1 badkamer,Douche en toilet,1 woonlaag,"Dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"Intergas HR (gas gestookt combiketel uit 2011, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-01-2061),Afgekocht tot 31-01-2061,In centrum en in woonwijk,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Derde Helmersstraat 19,1054 BA Amsterdam,,,275 m²,A,,1893,9 kamers (5 slaapkamers),2 badkamers en 4 aparte toiletten,"Ligbad, douche en toilet",4 woonlagen,Grotendeels dubbelglas,"Cv-ketel, gaskachels en gedeeltelijke vloerverwarming",Cv-ketel,"HR Intergas (gas gestookt combiketel uit 2020, eigendom)",Volle eigendom,,Aan rustige weg,Dakterras aanwezig en balkon aanwezig,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Ruysdaelkade 125 3,1072 AP Amsterdam,,,56 m²,D,Bovenwoning (appartement),1892,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Ligbad,2 woonlagen,"Dakisolatie, dubbel glas en HR-glas",Cv-ketel,Cv-ketel,"2010, eigendom",Volle eigendom,,"Aan vaarwater, aan water, in centrum, open ligging en vrij uitzicht",Dakterras aanwezig,Betaald parkeren en parkeervergunningen,Zonneterras,,,
De Lierhof 70,1059 WE Amsterdam,,,107 m²,B,Penthouse (appartement),1999,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2000, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 15-12-2048,"Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Dakterras aanwezig,Op afgesloten terrein en parkeergarage,,,,
De Wittenkade 97 C,1052 AG Amsterdam,,,35 m²,C,Bovenwoning (appartement),1896,2 kamers (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Dubbel glas en muurisolatie,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2012, eigendom)",Volle eigendom,,"Aan rustige weg, aan vaarwater, aan water en vrij uitzicht",,Betaald parkeren en parkeervergunningen,,,,
Orteliusstraat 294 2/3,1056 PN Amsterdam,,,104 m²,B,Bovenwoning (dubbel bovenhuis),1932,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2009, eigendom",Volle eigendom,,,Balkon aanwezig,,,,,
Tweede Oosterparkstraat 171 c,1092 BG Amsterdam,,,50 m²,D,Bovenwoning,1978,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt uit 2008, eigendom",Gemeentelijke erfpacht,Afgekocht tot 30-06-2061,,Balkon aanwezig,,,,,
Willemsstraat 99 B,1015 HZ Amsterdam,,,43 m²,B,Tussenverdieping (appartement),1902,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas en HR-glas,Cv-ketel,Cv-ketel,"Remeha Tzerra (gas gestookt combiketel uit 2015, eigendom)",Volle eigendom,,Aan rustige weg en in centrum,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Spreeuwenpark 10 hs,1021 GW Amsterdam,,,86 m²,C,Benedenwoning (appartement),1912,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",1 woonlaag,"Dakisolatie, dubbel glas en vloerisolatie",Cv-ketel,Cv-ketel,"Intergas Kombi Kompakt HRE 24/18 (gas gestookt combiketel uit 2007, eigendom)",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,"Aan rustige weg, in woonwijk en vrij uitzicht",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
Boutenburg 305,1068 ZH Amsterdam,,,66 m²,F,Bovenwoning (appartement),1961,3 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,Dubbel glas,Blokverwarming,Stadsverwarming,,,,Aan rustige weg en vrij uitzicht,Balkon aanwezig,Openbaar parkeren,,,,
Zeeburgerdijk 9 D,1093 SJ Amsterdam,,,31 m²,E,Bovenwoning (appartement),1891,1 kamer,1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2014, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 30-06-2053),Afgekocht tot 30-06-2053,"Aan drukke weg, aan vaarwater, in centrum en in woonwijk",,Betaald parkeren en openbaar parkeren,,,,
Van Zeggelaarstraat 12,1035 VD Amsterdam,,,98 m²,D,,1920,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,Ligbad en douche,2 woonlagen en een zolder,Dubbel glas,Cv-ketel,Cv-ketel,"2017, eigendom",Volle eigendom,,Aan rustige weg en in woonwijk,,Op eigen terrein en openbaar parkeren,Achtertuin en voortuin,,,
Buiksloterdijk 499,1034 ZC Amsterdam,,,158 m²,D,,1974,5 kamers (3 slaapkamers),2 badkamers,Ligbad en 2 toiletten,2 woonlagen,Dubbel glas en HR-glas,Heteluchtverwarming,Cv-ketel en geiser,,Zie akte,,"Aan rustige weg, aan water, beschutte ligging en vrij uitzicht",,Openbaar parkeren,Voortuin,,,
Hoofdweg 307 2,1057 CZ Amsterdam,,,58 m²,D,Bovenwoning (appartement),1925,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,Dubbel glas en HR-glas,Cv-ketel,Cv-ketel,"Gefit HR 107 (gas gestookt combiketel uit 2010, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 22-01-2064,"Aan drukke weg, aan park en in woonwijk",Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Bartholomeus Diazstraat 12 -2,1057 TB Amsterdam,,,50 m²,D,Bovenwoning (appartement),1925,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2010, eigendom)",Volle eigendom,,In woonwijk,Balkon aanwezig,Openbaar parkeren en parkeervergunningen,,,,
Middenweg 502,1097 VD Amsterdam,,,48 m²,D,Benedenwoning (appartement),1925,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Grotendeels dubbelglas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 15-11-2054,In woonwijk en vrij uitzicht,,Parkeervergunningen,Achtertuin en voortuin,,,
Benedenlangs 69,1025 KC Amsterdam,,,112 m²,C,Maisonnette (appartement),1970,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,2 woonlagen,Dubbel glas en HR-glas,Blokverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,"Beschutte ligging, in woonwijk en vrij uitzicht",Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Nieuwe Prinsengracht 72 1,1018 VV Amsterdam,,,63 m²,,Bovenwoning (appartement),1891,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Remeha Tzerra Ace 28C CCS (gas gestookt combiketel uit 2019, eigendom)",Volle eigendom,,"Aan rustige weg, in centrum en in woonwijk",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Stadionplein 51 1,1076 CH Amsterdam,,,76 m²,C,Portiekwoning (appartement),1931,4 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Nefit (gas gestookt combiketel uit 2012, eigendom)",Eigendom belast met erfpacht,Eeuwigdurend afgekocht,"Aan rustige weg, in centrum, in woonwijk en vrij uitzicht",Balkon aanwezig,"Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen",,,,
Cornelis Krusemanstraat 25 I,1075 NC Amsterdam,,,81 m²,D,Tussenverdieping (appartement),1923,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,"Dakisolatie, gedeeltelijk dubbel glas en HR-glas",Cv-ketel,Cv-ketel,"Gas gestookt uit 2009, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-07-2048),"€ 814,96 per jaar met optie tot afkopen",In woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Hoekappartement (Bouwnr. 801),1062 HE Amsterdam,,,90 m²,,Bovenwoning (appartement),2023,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,Dubbel glas,,,,,,In centrum,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Andries Snoekstraat 81,1065 TC Amsterdam,,,75 m²,E,,1959,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,2 woonlagen,Dubbel glas en HR-glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 15-01-2052,"Aan rustige weg, beschutte ligging en in woonwijk",,Betaald parkeren en openbaar parkeren,Achtertuin,,,
Familiemaisonnettes (Bouwnr. 310),1062 HE Amsterdam,,,115 m²,,Bovenwoning (appartement),2023,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 douches en 2 toiletten,2 woonlagen,Dubbel glas,,,,,,In centrum,,Parkeergarage,,,,
2-Kamerappartementen (Bouwnr. 403),1062 HE Amsterdam,,,60 m²,,Bovenwoning (appartement),2023,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,Dubbel glas,,,,,,In centrum,,Parkeergarage,,,,
Hendrik Veldhuishof 10,1106 ZB Amsterdam,,,103 m²,,,1985,4 kamers (3 slaapkamers),2 aparte toiletten,,3 woonlagen,,Cv-ketel,Cv-ketel,"Atag 210 HR (gas gestookt combiketel uit 2010, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 15-06-2035),Eeuwigdurend afgekocht,In woonwijk en vrij uitzicht,Balkon aanwezig,Openbaar parkeren,Achtertuin,,,
De Wittenstraat 70 2,1052 BA Amsterdam,,,47 m²,E,Tussenverdieping (appartement),1907,2 kamers (1 slaapkamer),,,1 woonlaag,,Cv-ketel,Cv-ketel,,,,In woonwijk,,Openbaar parkeren,,,,
Djambistraat 35 HS,1094 AX Amsterdam,,,65 m²,G,Benedenwoning (appartement),1913,3 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"HR combi ketel (gas gestookt combiketel uit 2007, eigendom)",Erfpacht (einddatum erfpacht: 30-09-2056),Afgekocht tot 30-09-2056,Aan rustige weg en in woonwijk,,Betaald parkeren,,,,
Van Spilbergenstraat 47 III,1057 PX Amsterdam,,,104 m²,,Bovenwoning (dubbel bovenhuis),1924,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Nefit HR Topline (gas gestookt combiketel uit 2008, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 15-01-2064),Afgekocht tot 15-01-2064,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",Dakterras aanwezig en balkon aanwezig,,,,,
Welnastraat 661,1096 GJ Amsterdam,,,31 m²,A,Bovenwoning (appartement),2016,1 kamer,1 badkamer,Douche en toilet,1 woonlaag,"Dakisolatie, dubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Stadsverwarming en gehele vloerverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,"Aan drukke weg, aan park, aan rustige weg, aan water, in woonwijk en vrij uitzicht",Frans balkon aanwezig,Betaald parkeren,,,,
Alexandrine Tinnehof 8 +PP,1087 CM Amsterdam,,,135 m²,A,,2006,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",3 woonlagen,Volledig geïsoleerd,Stadsverwarming en gedeeltelijke vloerverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 01-03-2054,"Aan rustige weg, beschutte ligging en in woonwijk",,Betaald parkeren,Achtertuin,,,
Bramzeilhof 72,1034 LJ Amsterdam,,,94 m²,A,Bovenwoning (appartement),1976,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Gemeentelijke erfpacht (einddatum erfpacht: 31-12-2053),Afgekocht tot 31-12-2053,,,Openbaar parkeren,,,,
Govert Flinckstraat 117 BG,1072 EG Amsterdam,,,108 m²,A,Dubbel benedenhuis (appartement),1892,3 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,Ligbad en douche,2 woonlagen,"Dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2020, eigendom",Volle eigendom,,In centrum en in woonwijk,Frans balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
Meerhuizenplein 10 Y,1078 TC Amsterdam,,,86 m²,B,Bovenwoning (appartement),2002,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"Intergas (2002, eigendom)",Eigendom belast met erfpacht,Eeuwigdurend afgekocht,"Aan rustige weg, in woonwijk en vrij uitzicht",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Langswater 225,1069 TS Amsterdam,,,61 m²,E,Galerijflat,1969,3 kamers (2 slaapkamers),1 badkamer,,1 woonlaag,,Stadsverwarming,Elektrische boiler,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-03-2059),Afgekocht tot 31-03-2059,,,Openbaar parkeren,,,,
Willem Baerdesenstraat 62,1067 XX Amsterdam,,,115 m²,B,Bovenwoning (appartement),2004,4 kamers (3 slaapkamers),1 apart toilet,,1 woonlaag,Dubbel glas en volledig geïsoleerd,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 13-06-2053,"Aan rustige weg, in woonwijk en vrij uitzicht",,Openbaar parkeren,,,,
Kanaalstraat 24 H,1054 XH Amsterdam,,,65 m²,D,Benedenwoning (appartement),1901,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas en vloerisolatie,Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,"Daalderop (gas gestookt combiketel, eigendom)",Volle eigendom,,"Aan rustige weg, in centrum en in woonwijk",,Parkeervergunningen,Achtertuin,,,
Nachtwachtlaan 267,1058 EJ Amsterdam,,,124 m²,C,Bovenwoning (appartement),1974,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,1 woonlaag,Dubbel glas,Blokverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-09-2094),Afgekocht tot 15-09-2094,Aan drukke weg en aan park,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Van Nijenrodeweg 803,1082 JK Amsterdam,,,88 m²,D,Portiekflat (appartement),1964,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,"Dakisolatie, dubbel glas, HR-glas en volledig geïsoleerd",Blokverwarming,Elektrische boiler,,Gemeentelijke erfpacht (einddatum erfpacht: 15-02-2036),€ 100 per jaar,Vrij uitzicht,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Evert Cornelisstraat 7 -2,1077 KV Amsterdam,,,104 m²,D,Bovenwoning (appartement),1955,4 kamers (3 slaapkamers),1 badkamer,Douche,1 woonlaag,Dubbel glas en HR-glas,Cv-ketel,Cv-ketel,"Intergas Kobi Kompakt HRE (gas gestookt combiketel uit 2013, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 01-03-2029),€ 195 per jaar,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Henriëtte Bosmansstraat 27,1077 XG Amsterdam,,,177 m²,C,,1954,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,Ligbad en 2 toiletten,3 woonlagen,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,Aan rustige weg en in woonwijk,Dakterras aanwezig,Betaald parkeren en parkeervergunningen,"Achtertuin, voortuin en zonneterras",,,
Osdorperweg 578,1067 SZ Amsterdam,,,308 m²,B,,1988,8 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,Ligbad en douche,"2 woonlagen, een zolder en een kelder",Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Nefit Ecomline combi CV-ketel (gas gestookt combiketel uit 2004, eigendom)",Volle eigendom,,"Aan rustige weg, aan water, buiten bebouwde kom, open ligging en vrij uitzicht",Dakterras aanwezig,Op eigen terrein,Tuin rondom en zijtuin,,,
Van Ostadestraat 146 -4 V,1072 TE Amsterdam,,,41 m²,D,Bovenwoning (appartement),1902,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2007, eigendom)",Volle eigendom,,In centrum en in woonwijk,,Parkeervergunningen,,,,
Hoofdweg 432 H,1056 DH Amsterdam,,,63 m²,D,Benedenwoning,1928,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2010, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 01-03-2057,In woonwijk,,Betaald parkeren en openbaar parkeren,Achtertuin,,,
Hendrik Dienskestraat 4,1063 AP Amsterdam,,,79 m²,D,,1953,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,,Cv-ketel,Cv-ketel,"Valliant (gas gestookt uit 2007, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-03-2028),"€ 61,71 per jaar",Aan rustige weg en in woonwijk,Balkon aanwezig,Openbaar parkeren,Achtertuin en voortuin,,,
Admiralengracht 64 -I,1057 GB Amsterdam,,,62 m²,C,Tussenverdieping (appartement),1925,3 kamers (2 slaapkamers),1 badkamer,Toilet,2 woonlagen,"Dubbel glas, HR-glas en vloerisolatie",Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2015, eigendom)",Gemeentelijke erfpacht,Eeuwigdurend afgekocht,"Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Dakterras aanwezig,Betaald parkeren en openbaar parkeren,Zonneterras,,,
Van Beuningenstraat 24 D,1051 XG Amsterdam,,,70 m²,C,Bovenwoning (appartement),1981,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"HR (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 30-06-2032,In woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Lou Jansenplein 24,1063 GZ Amsterdam,,,,,,,,,,,,,,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 12-04-2032),,,,Garage,,,,
Petmolen 30,1035 BG Amsterdam,,,79 m²,D,Galerijflat,1968,3 kamers (2 slaapkamers),,,1 woonlaag,,,,,,,,,,,,,
Eerste Jacob van Campenstraat 55,1072 BD Amsterdam,,,305 m²,D,,1879,3 kamers (1 slaapkamer),1 apart toilet,,1 woonlaag,Geen isolatie,Cv-ketel,Cv-ketel,Gas gestookt combiketel,,,Aan rustige weg en in woonwijk,,Betaald parkeren en openbaar parkeren,Achtertuin,,,
Hoogte Kadijk 69 -K,1018 BE Amsterdam,,,68 m²,B,Portiekflat,1989,2 kamers (1 slaapkamer),,,1 woonlaag,,,,,,,,,,,,,
Van Hogendorpstraat 154 H,1051 BX Amsterdam,,,65 m²,A,Benedenwoning (appartement),1911,3 kamers (2 slaapkamers),,,1 woonlaag,,Cv-ketel,Cv-ketel,Remeha (gas gestookt combiketel uit 2017),Volle eigendom,,Aan rustige weg,,,Achtertuin,,,
Lampongstraat 2 hs,1094 AT Amsterdam,,,37 m²,C,Benedenwoning,1914,2 kamers (1 slaapkamer),,,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2005, eigendom",Gemeentelijke erfpacht (einddatum erfpacht: 01-10-2054),Afgekocht tot 01-10-2054,,,Openbaar parkeren en parkeervergunningen,Achtertuin,,,
Boterdiepstraat 21 1,1079 ST Amsterdam,,,57 m²,B,Bovenwoning (appartement),,3 kamers (2 slaapkamers),1 badkamer,Ligbad en douche,1 woonlaag,,Cv-ketel,Cv-ketel,Eigendom,Eigendom belast met erfpacht,Afgekocht tot 31-01-2059,Aan rustige weg en in woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Henri Polaklaan 11 c-hs,1018 CP Amsterdam,,,120 m²,C,Benedenwoning,1941,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,"Ligbad, 2 douches en toilet",1 woonlaag,,Cv-ketel,Cv-ketel,"Nefit (gas gestookt combiketel uit 2014, eigendom)",Volle eigendom,,,,Openbaar parkeren en parkeervergunningen,Achtertuin en voortuin,,,
Blasiusstraat 70 c,1091 CW Amsterdam,,,54 m²,,Bovenwoning (appartement),1887,3 kamers (2 slaapkamers),1 apart toilet,,1 woonlaag,Volledig geïsoleerd,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2015, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 31-10-2064,In woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Nieuwe Herengracht 123 III,1011 SC Amsterdam,,,52 m²,,Tussenverdieping (appartement),,2 kamers (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2021, eigendom)",Volle eigendom,,"Aan rustige weg, aan vaarwater, aan water, in centrum, in woonwijk en vrij uitzicht",Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Bestevâerstraat 93 III,1056 HK Amsterdam,,,53 m²,G,Bovenwoning (appartement),1924,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2010, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 15-12-2060),Afgekocht tot 15-12-2060,Beschutte ligging en in woonwijk,,Betaald parkeren en parkeervergunningen,,,,
